author_name,bookName,stars,published_by,price
John Green,Looking For Alaska,4.6,NeverLand Books,16.99
Fredrik Backman,Anxious People: A Novel,4.4,Amazon,13.12
"Sue Monk Kidd (Author, Narrator), Jenna Lamia (Narrator), Adepero Oduye (Narrator), Penguin Audio (Publisher) & 1 more",The Invention of Wings: A Novel,4.7,Amazon,
Bill O'Reilly,Killing Crazy Horse: The Merciless Indian Wars in America (Bill O'Reilly's Killing Series),4.7,gatecitybooks,15
Celeste Ng,Little Fires Everywhere: A Novel,4.5,The BookBank,10.2
Delia Owens,Where the Crawdads Sing,4.8,-OnTimeBooks-,12.4
Ta-Nehisi Coates,The Water Dancer (Oprah's Book Club): A Novel,4.6,EmeraldGems,14.69
"Ashlee Vance (Author), Fred Sanders (Narrator), HarperAudio (Publisher) & 0 more","Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",4.7,Amazon,
A. R. Torre,Every Last Secret,4.3,Amazon,
"Yaa Gyasi (Author), Dominic Hoffman (Narrator), Random House Audio (Publisher) & 0 more",Homegoing: A Novel,4.6,Amazon,
"Mark White (Narrator), F. Scott Fitzgerald (Author), Page2Page (Publisher) & 0 more",The Great Gatsby,4.5,Amazon,
Robert Bailey,Legacy of Lies: A Legal Thriller (Bocephus Haynes Book 1),4.4,Amazon,
by Wm. Paul Young (Author),The Shack,4.7,Bobbert's Books,16.99
Tomi Adeyemi,"Children of Blood and Bone (Legacy of Orisha, 1)",4.7,IDEALalter,12.99
Anthony Doerr,All the Light We Cannot See: A Novel,4.6,R & C Rehab,19.99
Robb PearlmanMelanie Demmer,The Office: A Day at Dunder Mifflin Elementary,4.9,glenthebookseller,11.51
Viktor E. Frankl,"Man's Search for Meaning, Gift Edition",4.7,worldofbooksinc,14.35
Mark Manson,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life (Mark Manson Collection Book 1),4.6,Amazon,
by Christian Art Publishers (Author),"KJV Holy Bible, Giant Print Standard Size Faux Leather Red Letter Edition - Thumb Index & Ribbon Marker, King James Version, Dark Brown",4.8,Amazon,20.99
Michael Lewis,The Premonition: A Pandemic Story,4.7,Amazon,
"Michael Greger MD (Author), Gene Stone (Author), Michael Greger (Narrator), Macmillan Digital Audio (Publisher) & 1 more",How Not to Die: Discover the foods scientifically proven to prevent and reverse disease,4.7,Amazon,
David Grann,Killers of the Flower Moon: Adapted for Young Readers: The Osage Murders and the Birth of the FBI,4.6,Amazon,21.99
George S. Clason,The Richest Man in Babylon (Deluxe Hardbound Edition),4.7,Amazon,20.99
Sarah J. Maas,House of Earth and Blood (Crescent City),4.7,Amazon,12.65
Stephen King,Mr. Mercedes: A Novel (The Bill Hodges Trilogy Book 1),4.5,Amazon,
Orson Scott Card,"Ender's Game (The Ender Saga, 1)",4.6,Amazon,10.29
Adam Silvera,They Both Die at the End,4.7,Amazon,
"Sonia Purnell (Author), Juliet Stevenson (Narrator), Penguin Audio (Publisher) & 0 more",A Woman of No Importance: The Untold Story of the American Spy Who Helped Win World War II,4.6,Amazon,
Dr. Seuss,Happy Birthday to You!,4.8,-OnTimeBooks-,11.19
