rating,stock,price,writer,genre,published_by,plot_summary,book_title
4.9,,,"J.K. Rowling (Author), Jim Dale (Narrator), Pottermore Publishing (Publisher) & 0 more","[""Books"",""Teen & Young Adult"",""Literature & Fiction"",""Social & Family Issues"",""Family""]",Amazon,"In his fifth year at Hogwarts, Harry Potter grapples with disbelief from the wizarding world and the return of Lord Voldemort, while also facing an oppressive Ministry of Magic and a new, draconian Defense Against the Dark Arts professor.","Harry Potter and the Order of the Phoenix, Book 5"
4.5,In Stock.,21,John Grisham,"[""Books"",""Mystery, Thriller & Suspense"",""Thrillers & Suspense""]","Goodwill Retail Services, Inc.","In John Grisham's *The Judge's List*, a determined investigator teams up with a reclusive former judge to hunt down a serial killer who targets corrupt judges, while navigating legal complexities and the killer's own meticulous planning.",The Judge's List: A Novel (The Whistler)
4.4,In Stock.,11.99,A.G. Riddle,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",Rebel used books and antiques,"In *The Atlantis Plague*, a deadly pandemic originating from a forgotten civilization forces humanity to confront a terrifying evolutionary leap or face extinction.","The Atlantis Plague: A Thriller (The Origin Mystery, Book 2)"
4.6,In Stock.,13.16,Min Jin Lee,"[""Books"",""Literature & Fiction"",""Genre Fiction""]",LiquidationFactor,"Pachinko follows four generations of a Korean family as they navigate hardship, displacement, and their search for identity in Japan across the 20th century.",Pachinko (National Book Award Finalist)
4.8,In Stock.,10.37,by Dr. Edith Eva Eger (Author),"[""Books"",""History"",""World""]",mountain,"Dr. Edith Eva Eger's ""The Choice: Embrace the Possible"" is a profound testament to human resilience, sharing her experiences as a Holocaust survivor and her journey to heal from trauma and find freedom by choosing her response to adversity.",The Choice: Embrace the Possible
4.6,,,"Ken Follett (Author), John Lee (Narrator), Penguin Audio (Publisher) & 0 more","[""Books"",""Literature & Fiction"",""Genre Fiction"",""Family Saga""]",Amazon,"In 12th-century England, the ambitious construction of a magnificent cathedral becomes the backdrop for the intertwined lives, struggles, and passions of a diverse cast of characters amid political turmoil and societal upheaval.",The Pillars of the Earth
4.7,,,"Lois Lowry (Author), Ron Rifkin (Narrator), Listening Library (Publisher) & 0 more","[""Books"",""Teen & Young Adult"",""Literature & Fiction"",""Social & Family Issues"",""Values & Virtues""]",Amazon,"In a seemingly utopian society where emotions and memories are suppressed, a young boy named Jonas is chosen to be the Receiver of Memory and discovers the painful but vital truth about his community's past.",The Giver
4.7,In Stock.,13.76,Brian L. Weiss,"[""Books"",""Health, Fitness & Dieting"",""Psychology & Counseling""]",MjTreasuresCT,"A renowned psychiatrist discovers his young patient, Elisabeth, can access past lives under hypnosis, leading to profound healing and a transformation of both their understanding of life and death.","Many Lives, Many Masters: The True Story of a Prominent Psychiatrist, His Young Patient, and the Past-Life Therapy That Changed Both Their Lives"
4.8,,,"Diana Gabaldon (Author), Davina Porter (Narrator), Recorded Books (Publisher) & 0 more","[""Books"",""Romance"",""Historical"",""Scottish""]",Amazon,"In *A Breath of Snow and Ashes*, Claire and Jamie face escalating conflict and personal trials on Fraser's Ridge as war looms and a tragic event tests their family.","A Breath of Snow and Ashes: Outlander, Book 6"
4.8,In Stock.,13.07,Heidi Murkoff,"[""Books"",""Health, Fitness & Dieting"",""Women's Health""]",Media Trading Inc,"""What to Expect When You're Expecting"" is a comprehensive, week-by-week guide for expectant parents, covering everything from conception through childbirth and the early postpartum period.",What to Expect When You're Expecting
